0
MEX
DEN
POL
FRG
URS
NZL
BUL
POR
HUN
USA
FRA
JAM
KOR
ITA
CUB
SUI
IRI
THA
BEL
PUR
CAN
GBR
YUG
AUS
JPN
GDR
PAK
AUT
TTO
BER
SWE
FIN
ESP
MGL
NOR
PRK
ROU
VEN
BRA
TCH
NED
