0
CAN
TTO
POL
SWE
CUB
BAH
IRI
FIN
URU
TUN
BUL
ETH
FRA
IRL
USA
YUG
JPN
ARG
DEN
GHA
PAK
AUS
BEL
BRA
NGR
GBR
PHI
ROU
EUA
HUN
IND
TUR
URS
SUI
KEN
KOR
ITA
NED
NZL
MEX
TCH
