NOC,Summer,Winter,Gold,Silver,Bronze,Total_Medals,Rating,Rank
FRG,False,True,10,14,14,38,72,18
CZE,False,True,9,14,12,35,67,19
EUN,False,True,10,6,8,24,50,20
POL,False,True,7,7,9,23,44,21
BLR,False,True,8,5,5,18,39,22
OAR,False,True,2,12,9,23,39,23
GBR,False,True,8,2,9,19,37,24
TCH,False,True,2,7,14,23,34,25
EUA,False,True,6,5,4,15,32,26
AUS,False,True,5,5,5,15,30,27
CRO,False,True,4,6,1,11,25,28
SLO,False,True,2,5,9,16,25,29
SVK,False,True,3,4,1,8,18,30
EST,False,True,4,2,1,7,17,31
LIE,False,True,2,2,5,9,15,32
UKR,False,True,3,1,3,7,14,33
KAZ,False,True,1,3,4,8,13,34
LAT,False,True,0,4,5,9,13,35
BUL,False,True,1,2,3,6,10,36
YUG,False,True,0,4,1,5,9,37
ESP,False,True,1,0,3,4,6,38
HUN,False,True,1,1,0,2,5,39
LUX,False,True,0,2,0,2,4,40
NZL,False,True,0,1,2,3,4,41
BEL,False,True,0,1,1,2,3,42
PRK,False,True,0,1,1,2,3,43
UZB,False,True,1,0,0,1,3,44
DEN,False,True,0,1,0,1,2,45
ROU,False,True,0,0,1,1,1,46
