Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HØYER, Arne",Men,DEN,False,0,0,1,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HANSEN, Erik",Men,DEN,False,1,0,1,2,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"ELVSTROM, Paul",Men,DEN,False,1,0,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"BERNTSEN, William",Men,DEN,False,0,1,0,1,2,3,2,7,14,13
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"SAYED, Osman",Men,EGY,False,0,1,0,1,0,1,1,2,3,28
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"EL GINDY, Abdel Moneim",Men,EGY,False,0,0,1,1,0,1,1,2,3,28
1960,Rome,ITA,4727,611,5338,True,False,Hockey,Hockey,"AMAT, Pedro",Men,ESP,False,0,0,1,1,0,0,1,1,1,41
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"BIKILA, Abebe",Men,ETH,False,1,0,0,1,1,0,0,1,3,29
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"LÜTTGE, Johanna",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"CLAUS, Hildrun",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"SCHMID, Heidi",Women,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"HARTMANN, Ingrid",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"ZENZ, Therese",Women,EUA,False,0,2,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KÖHLER, Gisela",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"DONATH, Ursula",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"BIECHL, Anni",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"FUHRMANN, Bärbel",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"BRUNNER, Ursula",Women,EUA,False,0,0,2,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"GÖBEL, Barbara",Women,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"URSELMANN, Wiltrud",Women,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"HEINE, Jutta",Women,EUA,False,0,2,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Diving,Aquatics,"KRÄMER, Ingrid",Women,EUA,False,2,0,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"HILL, Achim",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KRÜGER, Walter",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"BRECHT, Jürgen",Men,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"MULKA, Rolf",Men,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"BITTNER, Klaus",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Cycling Road,Cycling,"ADLER, Egon",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"BARLEBEN, Bernd",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Jumping,Equestrian,"SCHOCKEMÖHLE, Alwin",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"KNUBEL, Bernhard",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Canoe Sprint,Canoe,"KRAUSE, Dieter",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Dressage,Equestrian,"NECKERMANN, Josef",Men,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"METZ, Lothar",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"MARITSCHNIGG, Günter",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Shooting,Shooting,"KOHNKE, Peter",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Shooting,Shooting,"ZÄHRINGER, Klaus",Men,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KAISER, Johannes",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"CULLMANN, Bernd",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"KAUFMANN, Carl",Men,EUA,False,0,2,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"CINTL, Gerd",Men,EUA,False,1,0,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"SIMON, Jürgen",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"GIESELER, Dieter",Men,EUA,False,0,1,0,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"HARY, Armin",Men,EUA,False,2,0,0,2,13,22,12,47,95,3
