Year,Host_City,Host_Country,Summer,Winter,Discipline,Sport,Event,Ath_Name,Gender,NOC,Home_Adv,Medal,Gold,Silver,Bronze,Total_Medals,Age
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,62kg,"SHI, Zhiyong",Men,CHN,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Judo,Judo,60 - 66kg,"ARENCIBIA, Yordanis",Men,CUB,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,60 - 66kg,"EROGLU, Seref",Men,TUR,False,Silver,0,1,0,1,29.0
2004,Athens,GRC,True,False,Judo,Judo,60 - 66kg,"GEORGIEV, Georgi",Men,BUL,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,60 - 66kg,"KELLY, Jamill",Men,USA,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Judo,Judo,60 - 66kg,"KRNAC, Jozef",Men,SVK,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,60 - 66kg,"MANSUROV, Farid",Men,AZE,False,Gold,1,0,0,1,22.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,60 - 66kg,"MANUKYAN, Mkkhitar",Men,KAZ,False,Bronze,0,0,1,1,31.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,60 - 66kg,"MURTAZALIEV, Makhach",Men,RUS,False,Bronze,0,0,1,1,20.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,60 - 66kg,"TEDEYEV, Elbrus",Men,UKR,False,Gold,1,0,0,1,30.0
2004,Athens,GRC,True,False,Judo,Judo,60 - 66kg,"UCHISHIBA, Masato",Men,JPN,False,Gold,1,0,0,1,26.0
2004,Athens,GRC,True,False,Boxing,Boxing,60 - 64 kg,"BOONJUMNONG, Manus",Men,THA,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,60 - 64 kg,"GEORGIEV, Boris",Men,BUL,False,Bronze,0,0,1,1,22.0
2004,Athens,GRC,True,False,Boxing,Boxing,60 - 64 kg,"GHEORGHE, Ionut",Men,ROU,False,Bronze,0,0,1,1,20.0
2004,Athens,GRC,True,False,Boxing,Boxing,60 - 64 kg,"JOHNSON CEDENO, Yudel",Men,CUB,False,Silver,0,1,0,1,23.0
