NOC,M,F,Total,Year,Host_Country,Host_City,Summer,Winter
EST,23,9,32,2012,UK,London,True,False
FIN,29,27,56,2012,UK,London,True,False
FRA,182,143,325,2012,UK,London,True,False
GBR,274,260,534,2012,UK,London,True,False
GEO,28,6,34,2012,UK,London,True,False
GER,212,172,384,2012,UK,London,True,False
GRE,65,37,102,2012,UK,London,True,False
HUN,93,59,152,2012,UK,London,True,False
IRL,36,28,64,2012,UK,London,True,False
ISL,21,6,27,2012,UK,London,True,False
ISR,19,18,37,2012,UK,London,True,False
ITA,158,123,281,2012,UK,London,True,False
LAT,31,14,45,2012,UK,London,True,False
LIE,1,2,3,2012,UK,London,True,False
LTU,39,23,62,2012,UK,London,True,False
LUX,5,4,9,2012,UK,London,True,False
MDA,12,8,20,2012,UK,London,True,False
MKD,2,2,4,2012,UK,London,True,False
MLT,3,2,5,2012,UK,London,True,False
MNE,18,15,33,2012,UK,London,True,False
MON,5,1,6,2012,UK,London,True,False
NED,94,79,173,2012,UK,London,True,False
NOR,33,28,61,2012,UK,London,True,False
POL,124,86,210,2012,UK,London,True,False
POR,44,33,77,2012,UK,London,True,False
ROU,55,50,105,2012,UK,London,True,False
RUS,204,226,430,2012,UK,London,True,False
SRB,80,36,116,2012,UK,London,True,False
SLO,28,37,65,2012,UK,London,True,False
SMR,1,3,4,2012,UK,London,True,False
SUI,71,28,99,2012,UK,London,True,False
SVK,26,21,47,2012,UK,London,True,False
SWE,56,80,136,2012,UK,London,True,False
TUR,48,64,112,2012,UK,London,True,False
UKR,119,111,230,2012,UK,London,True,False
ASA,4,1,5,2012,UK,London,True,False
AUS,221,185,406,2012,UK,London,True,False
COK,3,5,8,2012,UK,London,True,False
FIJ,6,3,9,2012,UK,London,True,False
FSM,4,2,6,2012,UK,London,True,False
GUM,5,3,8,2012,UK,London,True,False
KIR,2,1,3,2012,UK,London,True,False
MHL,2,2,4,2012,UK,London,True,False
NRU,2,0,2,2012,UK,London,True,False
NZL,97,86,183,2012,UK,London,True,False
PLW,2,3,5,2012,UK,London,True,False
PNG,4,4,8,2012,UK,London,True,False
SAM,5,3,8,2012,UK,London,True,False
SOL,2,2,4,2012,UK,London,True,False
TGA,2,1,3,2012,UK,London,True,False
TUV,2,1,3,2012,UK,London,True,False
VAN,3,2,5,2012,UK,London,True,False
ALG,55,10,65,2016,BRA,Rio,True,False
ANG,8,18,26,2016,BRA,Rio,True,False
BDI,5,4,9,2016,BRA,Rio,True,False
BEN,4,2,6,2016,BRA,Rio,True,False
BOT,9,3,12,2016,BRA,Rio,True,False
BUR,3,2,5,2016,BRA,Rio,True,False
CAF,3,3,6,2016,BRA,Rio,True,False
CGO,7,3,10,2016,BRA,Rio,True,False
CHA,1,1,2,2016,BRA,Rio,True,False
CIV,5,7,12,2016,BRA,Rio,True,False
CMR,5,19,24,2016,BRA,Rio,True,False
COD,2,2,4,2016,BRA,Rio,True,False
COM,2,2,4,2016,BRA,Rio,True,False
CPV,2,3,5,2016,BRA,Rio,True,False
DJI,6,1,7,2016,BRA,Rio,True,False
EGY,84,37,121,2016,BRA,Rio,True,False
ERI,11,1,12,2016,BRA,Rio,True,False
ETH,17,20,37,2016,BRA,Rio,True,False
GAB,4,2,6,2016,BRA,Rio,True,False
GAM,3,1,4,2016,BRA,Rio,True,False
GBS,3,2,5,2016,BRA,Rio,True,False
GEQ,1,0,1,2016,BRA,Rio,True,False
GHA,7,6,13,2016,BRA,Rio,True,False
GUI,2,3,5,2016,BRA,Rio,True,False
KEN,46,33,79,2016,BRA,Rio,True,False
LBA,6,1,7,2016,BRA,Rio,True,False
LBR,1,1,2,2016,BRA,Rio,True,False
LES,7,1,8,2016,BRA,Rio,True,False
MAD,1,4,5,2016,BRA,Rio,True,False
MAR,30,19,49,2016,BRA,Rio,True,False
MAW,3,2,5,2016,BRA,Rio,True,False
MLI,4,2,6,2016,BRA,Rio,True,False
MOZ,5,1,6,2016,BRA,Rio,True,False
MRI,5,6,11,2016,BRA,Rio,True,False
MTN,1,1,2,2016,BRA,Rio,True,False
NAM,4,6,10,2016,BRA,Rio,True,False
NGR,48,24,72,2016,BRA,Rio,True,False
NIG,4,2,6,2016,BRA,Rio,True,False
RSA,95,45,140,2016,BRA,Rio,True,False
RWA,4,3,7,2016,BRA,Rio,True,False
SEN,6,16,22,2016,BRA,Rio,True,False
SEY,8,2,10,2016,BRA,Rio,True,False
SLE,2,2,4,2016,BRA,Rio,True,False
SOM,1,1,2,2016,BRA,Rio,True,False
SSD,2,1,3,2016,BRA,Rio,True,False
STP,2,1,3,2016,BRA,Rio,True,False
SUD,4,2,6,2016,BRA,Rio,True,False
SWZ,1,1,2,2016,BRA,Rio,True,False
TAN,5,2,7,2016,BRA,Rio,True,False
TOG,2,3,5,2016,BRA,Rio,True,False
TUN,41,20,61,2016,BRA,Rio,True,False
UGA,14,7,21,2016,BRA,Rio,True,False
ZAM,5,2,7,2016,BRA,Rio,True,False
ZIM,9,22,31,2016,BRA,Rio,True,False
ANT,6,2,8,2016,BRA,Rio,True,False
ARG,142,75,217,2016,BRA,Rio,True,False
ARU,3,4,7,2016,BRA,Rio,True,False
BAH,17,12,29,2016,BRA,Rio,True,False
BAR,7,4,11,2016,BRA,Rio,True,False
BER,4,4,8,2016,BRA,Rio,True,False
BIZ,2,1,3,2016,BRA,Rio,True,False
BOL,6,6,12,2016,BRA,Rio,True,False
BRA,255,208,463,2016,BRA,Rio,True,False
CAN,127,183,310,2016,BRA,Rio,True,False
CAY,3,2,5,2016,BRA,Rio,True,False
CHI,25,17,42,2016,BRA,Rio,True,False
COL,75,72,147,2016,BRA,Rio,True,False
CRC,6,5,11,2016,BRA,Rio,True,False
CUB,84,34,118,2016,BRA,Rio,True,False
DMA,1,1,2,2016,BRA,Rio,True,False
DOM,18,8,26,2016,BRA,Rio,True,False
ECU,23,15,38,2016,BRA,Rio,True,False
ESA,5,3,8,2016,BRA,Rio,True,False
GRN,5,2,7,2016,BRA,Rio,True,False
GUA,15,6,21,2016,BRA,Rio,True,False
GUY,3,3,6,2016,BRA,Rio,True,False
HAI,7,3,10,2016,BRA,Rio,True,False
HON,24,1,25,2016,BRA,Rio,True,False
ISV,5,2,7,2016,BRA,Rio,True,False
IVB,1,3,4,2016,BRA,Rio,True,False
JAM,25,31,56,2016,BRA,Rio,True,False
LCA,2,3,5,2016,BRA,Rio,True,False
MEX,82,44,126,2016,BRA,Rio,True,False
NCA,3,2,5,2016,BRA,Rio,True,False
PAN,4,6,10,2016,BRA,Rio,True,False
PAR,6,5,11,2016,BRA,Rio,True,False
PER,17,12,29,2016,BRA,Rio,True,False
PUR,13,27,40,2016,BRA,Rio,True,False
SKN,5,1,6,2016,BRA,Rio,True,False
SUR,4,2,6,2016,BRA,Rio,True,False
TTO,18,10,28,2016,BRA,Rio,True,False
URU,12,5,17,2016,BRA,Rio,True,False
USA,264,292,556,2016,BRA,Rio,True,False
VEN,61,24,85,2016,BRA,Rio,True,False
VIN,2,2,4,2016,BRA,Rio,True,False
AFG,2,1,3,2016,BRA,Rio,True,False
BAN,4,3,7,2016,BRA,Rio,True,False
BHU,0,2,2,2016,BRA,Rio,True,False
BRN,20,13,33,2016,BRA,Rio,True,False
BRU,2,1,3,2016,BRA,Rio,True,False
CAM,2,4,6,2016,BRA,Rio,True,False
CHN,151,243,394,2016,BRA,Rio,True,False
HKG,15,22,37,2016,BRA,Rio,True,False
INA,17,11,28,2016,BRA,Rio,True,False
IND,61,51,112,2016,BRA,Rio,True,False
IRI,54,9,63,2016,BRA,Rio,True,False
IRQ,22,0,22,2016,BRA,Rio,True,False
JOR,7,1,8,2016,BRA,Rio,True,False
JPN,173,165,338,2016,BRA,Rio,True,False
KAZ,55,46,101,2016,BRA,Rio,True,False
KGZ,11,7,18,2016,BRA,Rio,True,False
KOR,104,104,208,2016,BRA,Rio,True,False
KSA,7,4,11,2016,BRA,Rio,True,False
LAO,3,2,5,2016,BRA,Rio,True,False
LBN,4,5,9,2016,BRA,Rio,True,False
MAS,17,15,32,2016,BRA,Rio,True,False
MDV,2,2,4,2016,BRA,Rio,True,False
MGL,25,17,42,2016,BRA,Rio,True,False
MYA,4,3,7,2016,BRA,Rio,True,False
NEP,3,4,7,2016,BRA,Rio,True,False
OMA,2,2,4,2016,BRA,Rio,True,False
PAK,4,3,7,2016,BRA,Rio,True,False
PHI,7,6,13,2016,BRA,Rio,True,False
PLE,4,2,6,2016,BRA,Rio,True,False
PRK,11,20,31,2016,BRA,Rio,True,False
QAT,35,2,37,2016,BRA,Rio,True,False
SGP,9,16,25,2016,BRA,Rio,True,False
SRI,7,2,9,2016,BRA,Rio,True,False
SYR,4,3,7,2016,BRA,Rio,True,False
THA,26,28,54,2016,BRA,Rio,True,False
TJK,5,2,7,2016,BRA,Rio,True,False
TKM,4,5,9,2016,BRA,Rio,True,False
TLS,1,2,3,2016,BRA,Rio,True,False
TPE,26,29,55,2016,BRA,Rio,True,False
UAE,9,3,12,2016,BRA,Rio,True,False
UZB,47,23,70,2016,BRA,Rio,True,False
VIE,10,12,22,2016,BRA,Rio,True,False
YEM,2,1,3,2016,BRA,Rio,True,False
ALB,3,3,6,2016,BRA,Rio,True,False
AND,2,2,4,2016,BRA,Rio,True,False
ARM,24,7,31,2016,BRA,Rio,True,False
AUT,37,34,71,2016,BRA,Rio,True,False
AZE,42,14,56,2016,BRA,Rio,True,False
BEL,70,34,104,2016,BRA,Rio,True,False
BIH,7,4,11,2016,BRA,Rio,True,False
BLR,53,70,123,2016,BRA,Rio,True,False
BUL,29,21,50,2016,BRA,Rio,True,False
CRO,68,19,87,2016,BRA,Rio,True,False
CYP,9,6,15,2016,BRA,Rio,True,False
CZE,62,42,104,2016,BRA,Rio,True,False
DEN,79,41,120,2016,BRA,Rio,True,False
ESP,164,144,308,2016,BRA,Rio,True,False
EST,28,18,46,2016,BRA,Rio,True,False
FIN,26,28,54,2016,BRA,Rio,True,False
FRA,229,168,397,2016,BRA,Rio,True,False
GBR,201,159,360,2016,BRA,Rio,True,False
GEO,30,10,40,2016,BRA,Rio,True,False
GER,227,195,422,2016,BRA,Rio,True,False
GRE,56,36,92,2016,BRA,Rio,True,False
HUN,88,66,154,2016,BRA,Rio,True,False
IRL,51,26,77,2016,BRA,Rio,True,False
ISL,3,5,8,2016,BRA,Rio,True,False
ISR,22,25,47,2016,BRA,Rio,True,False
ITA,168,141,309,2016,BRA,Rio,True,False
KOS,3,5,8,2016,BRA,Rio,True,False
LAT,19,13,32,2016,BRA,Rio,True,False
LIE,1,2,3,2016,BRA,Rio,True,False
LTU,48,19,67,2016,BRA,Rio,True,False
LUX,5,5,10,2016,BRA,Rio,True,False
MDA,14,9,23,2016,BRA,Rio,True,False
MKD,2,4,6,2016,BRA,Rio,True,False
MLT,4,3,7,2016,BRA,Rio,True,False
MNE,17,18,35,2016,BRA,Rio,True,False
MON,3,0,3,2016,BRA,Rio,True,False
NED,105,131,236,2016,BRA,Rio,True,False
NOR,29,33,62,2016,BRA,Rio,True,False
POL,139,95,234,2016,BRA,Rio,True,False
POR,62,29,91,2016,BRA,Rio,True,False
ROU,34,61,95,2016,BRA,Rio,True,False
RUS,142,142,284,2016,BRA,Rio,True,False
SRB,58,45,103,2016,BRA,Rio,True,False
SLO,39,24,63,2016,BRA,Rio,True,False
SMR,2,2,4,2016,BRA,Rio,True,False
SUI,57,45,102,2016,BRA,Rio,True,False
SVK,32,19,51,2016,BRA,Rio,True,False
SWE,67,87,154,2016,BRA,Rio,True,False
TUR,53,48,101,2016,BRA,Rio,True,False
UKR,87,118,205,2016,BRA,Rio,True,False
ASA,3,1,4,2016,BRA,Rio,True,False
AUS,208,213,421,2016,BRA,Rio,True,False
COK,4,5,9,2016,BRA,Rio,True,False
FIJ,37,17,54,2016,BRA,Rio,True,False
FSM,2,3,5,2016,BRA,Rio,True,False
GUM,3,2,5,2016,BRA,Rio,True,False
KIR,2,1,3,2016,BRA,Rio,True,False
MHL,2,3,5,2016,BRA,Rio,True,False
NRU,2,0,2,2016,BRA,Rio,True,False
NZL,98,99,197,2016,BRA,Rio,True,False
PLW,3,2,5,2016,BRA,Rio,True,False
PNG,6,2,8,2016,BRA,Rio,True,False
SAM,5,3,8,2016,BRA,Rio,True,False
SOL,1,2,3,2016,BRA,Rio,True,False
TGA,4,3,7,2016,BRA,Rio,True,False
TUV,1,0,1,2016,BRA,Rio,True,False
VAN,4,0,4,2016,BRA,Rio,True,False
IOA,8,1,9,2016,BRA,Rio,True,False
RSA,1,3,4,1960,USA,Squaw Valley,False,True
ARG,5,1,6,1960,USA,Squaw Valley,False,True
CAN,34,10,44,1960,USA,Squaw Valley,False,True
CHI,5,0,5,1960,USA,Squaw Valley,False,True
USA,60,19,79,1960,USA,Squaw Valley,False,True
KOR,5,2,7,1960,USA,Squaw Valley,False,True
JPN,36,5,41,1960,USA,Squaw Valley,False,True
LBN,2,0,2,1960,USA,Squaw Valley,False,True
AUT,17,9,26,1960,USA,Squaw Valley,False,True
BUL,4,3,7,1960,USA,Squaw Valley,False,True
DEN,1,0,1,1960,USA,Squaw Valley,False,True
EUA,56,18,74,1960,USA,Squaw Valley,False,True
ESP,4,0,4,1960,USA,Squaw Valley,False,True
FIN,42,6,48,1960,USA,Squaw Valley,False,True
FRA,18,8,26,1960,USA,Squaw Valley,False,True
GBR,11,6,17,1960,USA,Squaw Valley,False,True
HUN,2,1,3,1960,USA,Squaw Valley,False,True
ISL,4,0,4,1960,USA,Squaw Valley,False,True
ITA,21,7,28,1960,USA,Squaw Valley,False,True
LIE,3,0,3,1960,USA,Squaw Valley,False,True
NOR,25,4,29,1960,USA,Squaw Valley,False,True
NED,5,2,7,1960,USA,Squaw Valley,False,True
POL,7,6,13,1960,USA,Squaw Valley,False,True
SWE,41,6,47,1960,USA,Squaw Valley,False,True
SUI,14,7,21,1960,USA,Squaw Valley,False,True
TCH,20,1,21,1960,USA,Squaw Valley,False,True
TUR,2,0,2,1960,USA,Squaw Valley,False,True
URS,48,14,62,1960,USA,Squaw Valley,False,True
AUS,26,4,30,1960,USA,Squaw Valley,False,True
NZL,2,2,4,1960,USA,Squaw Valley,False,True
ARG,11,1,12,1964,AUS,Innsbruck,False,True
CAN,43,12,55,1964,AUS,Innsbruck,False,True
CHI,5,0,5,1964,AUS,Innsbruck,False,True
USA,72,18,90,1964,AUS,Innsbruck,False,True
KOR,5,2,7,1964,AUS,Innsbruck,False,True
PRK,6,7,13,1964,AUS,Innsbruck,False,True
IND,1,0,1,1964,AUS,Innsbruck,False,True
IRI,4,0,4,1964,AUS,Innsbruck,False,True
JPN,41,6,47,1964,AUS,Innsbruck,False,True
LBN,4,0,4,1964,AUS,Innsbruck,False,True
MGL,10,3,13,1964,AUS,Innsbruck,False,True
AUT,69,14,83,1964,AUS,Innsbruck,False,True
BEL,7,1,8,1964,AUS,Innsbruck,False,True
BUL,3,4,7,1964,AUS,Innsbruck,False,True
DEN,2,0,2,1964,AUS,Innsbruck,False,True
EUA,73,23,96,1964,AUS,Innsbruck,False,True
ESP,6,0,6,1964,AUS,Innsbruck,False,True
FIN,45,6,51,1964,AUS,Innsbruck,False,True
FRA,15,9,24,1964,AUS,Innsbruck,False,True
GBR,27,9,36,1964,AUS,Innsbruck,False,True
GRE,3,0,3,1964,AUS,Innsbruck,False,True
HUN,22,6,28,1964,AUS,Innsbruck,False,True
ISL,5,0,5,1964,AUS,Innsbruck,False,True
ITA,53,8,61,1964,AUS,Innsbruck,False,True
LIE,6,0,6,1964,AUS,Innsbruck,False,True
NOR,51,7,58,1964,AUS,Innsbruck,False,True
NED,4,2,6,1964,AUS,Innsbruck,False,True
POL,39,11,50,1964,AUS,Innsbruck,False,True
ROU,26,0,26,1964,AUS,Innsbruck,False,True
SWE,49,8,57,1964,AUS,Innsbruck,False,True
SUI,60,12,72,1964,AUS,Innsbruck,False,True
TCH,36,10,46,1964,AUS,Innsbruck,False,True
TUR,5,0,5,1964,AUS,Innsbruck,False,True
URS,53,16,69,1964,AUS,Innsbruck,False,True
YUG,28,2,30,1964,AUS,Innsbruck,False,True
AUS,3,2,5,1964,AUS,Innsbruck,False,True
MAR,5,0,5,1968,FRA,Grenoble,False,True
ARG,2,3,5,1968,FRA,Grenoble,False,True
CAN,55,15,70,1968,FRA,Grenoble,False,True
CHI,3,1,4,1968,FRA,Grenoble,False,True
USA,74,21,95,1968,FRA,Grenoble,False,True
KOR,5,3,8,1968,FRA,Grenoble,False,True
IND,1,0,1,1968,FRA,Grenoble,False,True
IRI,4,0,4,1968,FRA,Grenoble,False,True
JPN,52,9,61,1968,FRA,Grenoble,False,True
LBN,3,0,3,1968,FRA,Grenoble,False,True
MGL,7,0,7,1968,FRA,Grenoble,False,True
AUT,63,13,76,1968,FRA,Grenoble,False,True
BUL,2,4,6,1968,FRA,Grenoble,False,True
DEN,2,1,3,1968,FRA,Grenoble,False,True
ESP,18,0,18,1968,FRA,Grenoble,False,True
FIN,44,8,52,1968,FRA,Grenoble,False,True
FRA,68,20,88,1968,FRA,Grenoble,False,True
FRG,64,11,75,1968,FRA,Grenoble,False,True
GBR,28,10,38,1968,FRA,Grenoble,False,True
GDR,45,12,57,1968,FRA,Grenoble,False,True
GRE,3,0,3,1968,FRA,Grenoble,False,True
HUN,8,2,10,1968,FRA,Grenoble,False,True
ISL,4,0,4,1968,FRA,Grenoble,False,True
ITA,39,8,47,1968,FRA,Grenoble,False,True
LIE,8,1,9,1968,FRA,Grenoble,False,True
NOR,55,11,66,1968,FRA,Grenoble,False,True
NED,4,5,9,1968,FRA,Grenoble,False,True
POL,23,8,31,1968,FRA,Grenoble,False,True
ROU,29,1,30,1968,FRA,Grenoble,False,True
SWE,59,9,68,1968,FRA,Grenoble,False,True
SUI,29,5,34,1968,FRA,Grenoble,False,True
TCH,41,7,48,1968,FRA,Grenoble,False,True
TUR,11,0,11,1968,FRA,Grenoble,False,True
URS,53,20,73,1968,FRA,Grenoble,False,True
YUG,29,1,30,1968,FRA,Grenoble,False,True
AUS,3,0,3,1968,FRA,Grenoble,False,True
NZL,4,2,6,1968,FRA,Grenoble,False,True
ARG,2,0,2,1972,JPN,Sapporo,False,True
CAN,29,18,47,1972,JPN,Sapporo,False,True
USA,77,26,103,1972,JPN,Sapporo,False,True
TPE,5,0,5,1972,JPN,Sapporo,False,True
KOR,2,3,5,1972,JPN,Sapporo,False,True
PRK,0,6,6,1972,JPN,Sapporo,False,True
IRI,4,0,4,1972,JPN,Sapporo,False,True
JPN,65,20,85,1972,JPN,Sapporo,False,True
LBN,1,0,1,1972,JPN,Sapporo,False,True
MGL,4,0,4,1972,JPN,Sapporo,False,True
PHI,2,0,2,1972,JPN,Sapporo,False,True
AUT,29,11,40,1972,JPN,Sapporo,False,True
BEL,1,0,1,1972,JPN,Sapporo,False,True
BUL,4,0,4,1972,JPN,Sapporo,False,True
ESP,2,1,3,1972,JPN,Sapporo,False,True
FIN,43,7,50,1972,JPN,Sapporo,False,True
FRA,33,7,40,1972,JPN,Sapporo,False,True
FRG,62,16,78,1972,JPN,Sapporo,False,True
GBR,30,7,37,1972,JPN,Sapporo,False,True
GDR,29,13,42,1972,JPN,Sapporo,False,True
GRE,3,0,3,1972,JPN,Sapporo,False,True
HUN,0,1,1,1972,JPN,Sapporo,False,True
ITA,41,3,44,1972,JPN,Sapporo,False,True
LIE,3,1,4,1972,JPN,Sapporo,False,True
NOR,55,11,66,1972,JPN,Sapporo,False,True
NED,5,6,11,1972,JPN,Sapporo,False,True
POL,39,8,47,1972,JPN,Sapporo,False,True
ROU,13,0,13,1972,JPN,Sapporo,False,True
SWE,49,9,58,1972,JPN,Sapporo,False,True
SUI,46,6,52,1972,JPN,Sapporo,False,True
TCH,36,4,40,1972,JPN,Sapporo,False,True
URS,55,21,76,1972,JPN,Sapporo,False,True
YUG,26,0,26,1972,JPN,Sapporo,False,True
AUS,4,0,4,1972,JPN,Sapporo,False,True
NZL,2,0,2,1972,JPN,Sapporo,False,True
ARG,8,0,8,1976,AUS,Innsbruck,False,True
CAN,36,19,55,1976,AUS,Innsbruck,False,True
CHI,5,0,5,1976,AUS,Innsbruck,False,True
USA,76,31,107,1976,AUS,Innsbruck,False,True
TPE,6,0,6,1976,AUS,Innsbruck,False,True
KOR,1,2,3,1976,AUS,Innsbruck,False,True
IRI,4,0,4,1976,AUS,Innsbruck,False,True
JPN,50,8,58,1976,AUS,Innsbruck,False,True
LBN,0,1,1,1976,AUS,Innsbruck,False,True
AND,5,0,5,1976,AUS,Innsbruck,False,True
AUT,60,14,74,1976,AUS,Innsbruck,False,True
BEL,3,1,4,1976,AUS,Innsbruck,False,True
BUL,29,0,29,1976,AUS,Innsbruck,False,True
ESP,4,0,4,1976,AUS,Innsbruck,False,True
FIN,38,9,47,1976,AUS,Innsbruck,False,True
FRA,30,6,36,1976,AUS,Innsbruck,False,True
FRG,56,15,71,1976,AUS,Innsbruck,False,True
GBR,30,11,41,1976,AUS,Innsbruck,False,True
GDR,41,19,60,1976,AUS,Innsbruck,False,True
GRE,4,0,4,1976,AUS,Innsbruck,False,True
HUN,2,1,3,1976,AUS,Innsbruck,False,True
ISL,6,2,8,1976,AUS,Innsbruck,False,True
ITA,46,11,57,1976,AUS,Innsbruck,False,True
LIE,6,3,9,1976,AUS,Innsbruck,False,True
NOR,35,7,42,1976,AUS,Innsbruck,False,True
NED,3,4,7,1976,AUS,Innsbruck,False,True
POL,43,14,57,1976,AUS,Innsbruck,False,True
ROU,32,0,32,1976,AUS,Innsbruck,False,True
SMR,2,0,2,1976,AUS,Innsbruck,False,True
SWE,30,9,39,1976,AUS,Innsbruck,False,True
SUI,53,7,60,1976,AUS,Innsbruck,False,True
TCH,46,12,58,1976,AUS,Innsbruck,False,True
TUR,9,0,9,1976,AUS,Innsbruck,False,True
URS,59,19,78,1976,AUS,Innsbruck,False,True
YUG,26,1,27,1976,AUS,Innsbruck,False,True
AUS,5,3,8,1976,AUS,Innsbruck,False,True
NZL,3,2,5,1976,AUS,Innsbruck,False,True
ARG,12,0,12,1980,USA,Lake Placid,False,True
BOL,3,0,3,1980,USA,Lake Placid,False,True
CAN,39,19,58,1980,USA,Lake Placid,False,True
CRC,1,0,1,1980,USA,Lake Placid,False,True
USA,77,26,103,1980,USA,Lake Placid,False,True
CHN,13,11,24,1980,USA,Lake Placid,False,True
KOR,6,4,10,1980,USA,Lake Placid,False,True
JPN,46,4,50,1980,USA,Lake Placid,False,True
LBN,2,1,3,1980,USA,Lake Placid,False,True
MGL,3,0,3,1980,USA,Lake Placid,False,True
AND,3,0,3,1980,USA,Lake Placid,False,True
AUT,33,10,43,1980,USA,Lake Placid,False,True
BEL,2,0,2,1980,USA,Lake Placid,False,True
BUL,8,0,8,1980,USA,Lake Placid,False,True
CYP,2,1,3,1980,USA,Lake Placid,False,True
ESP,6,2,8,1980,USA,Lake Placid,False,True
FIN,45,8,53,1980,USA,Lake Placid,False,True
FRA,16,6,22,1980,USA,Lake Placid,False,True
FRG,62,18,80,1980,USA,Lake Placid,False,True
GBR,36,12,48,1980,USA,Lake Placid,False,True
GDR,37,16,53,1980,USA,Lake Placid,False,True
GRE,3,0,3,1980,USA,Lake Placid,False,True
HUN,1,1,2,1980,USA,Lake Placid,False,True
ISL,5,1,6,1980,USA,Lake Placid,False,True
ITA,34,12,46,1980,USA,Lake Placid,False,True
LIE,4,3,7,1980,USA,Lake Placid,False,True
NOR,54,9,63,1980,USA,Lake Placid,False,True
NED,25,4,29,1980,USA,Lake Placid,False,True
POL,29,1,30,1980,USA,Lake Placid,False,True
ROU,33,2,35,1980,USA,Lake Placid,False,True
SWE,49,12,61,1980,USA,Lake Placid,False,True
SUI,33,11,44,1980,USA,Lake Placid,False,True
TCH,34,7,41,1980,USA,Lake Placid,False,True
URS,64,22,86,1980,USA,Lake Placid,False,True
YUG,11,4,15,1980,USA,Lake Placid,False,True
AUS,6,3,9,1980,USA,Lake Placid,False,True
NZL,3,2,5,1980,USA,Lake Placid,False,True
EGY,1,0,1,1984,BIH,Sarajevo,False,True
MAR,4,0,4,1984,BIH,Sarajevo,False,True
SEN,1,0,1,1984,BIH,Sarajevo,False,True
ARG,13,5,18,1984,BIH,Sarajevo,False,True
BOL,3,0,3,1984,BIH,Sarajevo,False,True
CAN,47,20,67,1984,BIH,Sarajevo,False,True
CHI,4,0,4,1984,BIH,Sarajevo,False,True
CRC,3,0,3,1984,BIH,Sarajevo,False,True
USA,77,30,107,1984,BIH,Sarajevo,False,True
MEX,1,0,1,1984,BIH,Sarajevo,False,True
PUR,1,0,1,1984,BIH,Sarajevo,False,True
ISV,1,0,1,1984,BIH,Sarajevo,False,True
CHN,21,16,37,1984,BIH,Sarajevo,False,True
KOR,11,4,15,1984,BIH,Sarajevo,False,True
JPN,32,7,39,1984,BIH,Sarajevo,False,True
LBN,4,0,4,1984,BIH,Sarajevo,False,True
MGL,4,0,4,1984,BIH,Sarajevo,False,True
PRK,3,3,6,1984,BIH,Sarajevo,False,True
TPE,10,2,12,1984,BIH,Sarajevo,False,True
AND,2,0,2,1984,BIH,Sarajevo,False,True
AUT,58,7,65,1984,BIH,Sarajevo,False,True
BEL,2,2,4,1984,BIH,Sarajevo,False,True
BUL,15,1,16,1984,BIH,Sarajevo,False,True
CYP,4,1,5,1984,BIH,Sarajevo,False,True
ESP,10,3,13,1984,BIH,Sarajevo,False,True
FIN,40,5,45,1984,BIH,Sarajevo,False,True
FRA,22,10,32,1984,BIH,Sarajevo,False,True
FRG,69,15,84,1984,BIH,Sarajevo,False,True
GBR,17,13,30,1984,BIH,Sarajevo,False,True
GDR,40,17,57,1984,BIH,Sarajevo,False,True
GRE,6,0,6,1984,BIH,Sarajevo,False,True
HUN,8,1,9,1984,BIH,Sarajevo,False,True
ISL,4,1,5,1984,BIH,Sarajevo,False,True
ITA,59,15,74,1984,BIH,Sarajevo,False,True
LIE,7,3,10,1984,BIH,Sarajevo,False,True
MON,1,0,1,1984,BIH,Sarajevo,False,True
NOR,50,8,58,1984,BIH,Sarajevo,False,True
NED,9,4,13,1984,BIH,Sarajevo,False,True
POL,24,6,30,1984,BIH,Sarajevo,False,True
ROU,16,3,19,1984,BIH,Sarajevo,False,True
SMR,3,0,3,1984,BIH,Sarajevo,False,True
SWE,51,9,60,1984,BIH,Sarajevo,False,True
SUI,51,9,60,1984,BIH,Sarajevo,False,True
TCH,38,12,50,1984,BIH,Sarajevo,False,True
TUR,7,0,7,1984,BIH,Sarajevo,False,True
URS,74,25,99,1984,BIH,Sarajevo,False,True
YUG,58,13,71,1984,BIH,Sarajevo,False,True
AUS,8,2,10,1984,BIH,Sarajevo,False,True
NZL,4,2,6,1984,BIH,Sarajevo,False,True
MAR,3,0,3,1988,CAN,Calgary,False,True
AHO,2,0,2,1988,CAN,Calgary,False,True
ARG,10,5,15,1988,CAN,Calgary,False,True
BOL,6,0,6,1988,CAN,Calgary,False,True
CAN,82,30,112,1988,CAN,Calgary,False,True
CHI,5,0,5,1988,CAN,Calgary,False,True
CRC,2,0,2,1988,CAN,Calgary,False,True
USA,86,31,117,1988,CAN,Calgary,False,True
GUA,5,1,6,1988,CAN,Calgary,False,True
JAM,4,0,4,1988,CAN,Calgary,False,True
MEX,10,1,11,1988,CAN,Calgary,False,True
PUR,8,1,9,1988,CAN,Calgary,False,True
ISV,5,1,6,1988,CAN,Calgary,False,True
CHN,6,7,13,1988,CAN,Calgary,False,True
KOR,18,4,22,1988,CAN,Calgary,False,True
IND,2,1,3,1988,CAN,Calgary,False,True
JPN,37,11,48,1988,CAN,Calgary,False,True
LBN,4,0,4,1988,CAN,Calgary,False,True
MGL,2,1,3,1988,CAN,Calgary,False,True
PHI,1,0,1,1988,CAN,Calgary,False,True
