Ath_Name,Host_City,Discipline,Event,Event_Gender,Gender,Medal,NOC,Sport,Summer,Winter,Year
"WEBSTER, Robert",Rome,Diving,10m platform,M,Men,Gold,USA,Aquatics,True,False,1960
"TOBIAN, Gary",Rome,Diving,10m platform,M,Men,Silver,USA,Aquatics,True,False,1960
"PHELPS, Brian",Rome,Diving,10m platform,M,Men,Bronze,GBR,Aquatics,True,False,1960
"KRÄMER, Ingrid",Rome,Diving,10m platform,W,Women,Gold,EUA,Aquatics,True,False,1960
"MYERS-POPE, Paula Jean",Rome,Diving,10m platform,W,Women,Silver,USA,Aquatics,True,False,1960
"KRUTOVA, Ninel Vasilyevna",Rome,Diving,10m platform,W,Women,Bronze,URS,Aquatics,True,False,1960
"TOBIAN, Gary",Rome,Diving,3m springboard,M,Men,Gold,USA,Aquatics,True,False,1960
"HALL, Samuel",Rome,Diving,3m springboard,M,Men,Silver,USA,Aquatics,True,False,1960
"BOTELLA, Juan",Rome,Diving,3m springboard,M,Men,Bronze,MEX,Aquatics,True,False,1960
"KRÄMER, Ingrid",Rome,Diving,3m springboard,W,Women,Gold,EUA,Aquatics,True,False,1960
"MYERS-POPE, Paula Jean",Rome,Diving,3m springboard,W,Women,Silver,USA,Aquatics,True,False,1960
"FERRIS, Elizabeth",Rome,Diving,3m springboard,W,Women,Bronze,GBR,Aquatics,True,False,1960
"THEILE, David",Rome,Swimming,100m backstroke,M,Men,Gold,AUS,Aquatics,True,False,1960
"MCKINNEY, Frank",Rome,Swimming,100m backstroke,M,Men,Silver,USA,Aquatics,True,False,1960
"BENNETT, Robert",Rome,Swimming,100m backstroke,M,Men,Bronze,USA,Aquatics,True,False,1960
"BURKE, Lynn",Rome,Swimming,100m backstroke,W,Women,Gold,USA,Aquatics,True,False,1960
"STEWARD, Natalie",Rome,Swimming,100m backstroke,W,Women,Silver,GBR,Aquatics,True,False,1960
"TANAKA, Satoko",Rome,Swimming,100m backstroke,W,Women,Bronze,JPN,Aquatics,True,False,1960
"SCHULER, Carolyn",Rome,Swimming,100m butterfly,W,Women,Gold,USA,Aquatics,True,False,1960
"HEEMSKERK, Marianne",Rome,Swimming,100m butterfly,W,Women,Silver,NED,Aquatics,True,False,1960
"ANDREW, Janice",Rome,Swimming,100m butterfly,W,Women,Bronze,AUS,Aquatics,True,False,1960
"DEVITT, John",Rome,Swimming,100m freestyle,M,Men,Gold,AUS,Aquatics,True,False,1960
"LARSON, Lance",Rome,Swimming,100m freestyle,M,Men,Silver,USA,Aquatics,True,False,1960
"DOS SANTOS, Manoel",Rome,Swimming,100m freestyle,M,Men,Bronze,BRA,Aquatics,True,False,1960
"FRASER, Dawn",Rome,Swimming,100m freestyle,W,Women,Gold,AUS,Aquatics,True,False,1960
"VON SALTZA, Chris",Rome,Swimming,100m freestyle,W,Women,Silver,USA,Aquatics,True,False,1960
"STEWARD, Natalie",Rome,Swimming,100m freestyle,W,Women,Bronze,GBR,Aquatics,True,False,1960
"KONRADS, John",Rome,Swimming,1500m freestyle,M,Men,Gold,AUS,Aquatics,True,False,1960
"ROSE, Murray",Rome,Swimming,1500m freestyle,M,Men,Silver,AUS,Aquatics,True,False,1960
"BREEN, George",Rome,Swimming,1500m freestyle,M,Men,Bronze,USA,Aquatics,True,False,1960
"MULLIKEN, Bill",Rome,Swimming,200m breaststroke,M,Men,Gold,USA,Aquatics,True,False,1960
"OSAKI, Yoshihiko",Rome,Swimming,200m breaststroke,M,Men,Silver,JPN,Aquatics,True,False,1960
"MENSONIDES, Wieger",Rome,Swimming,200m breaststroke,M,Men,Bronze,NED,Aquatics,True,False,1960
"LONSBROUGH, Anita",Rome,Swimming,200m breaststroke,W,Women,Gold,GBR,Aquatics,True,False,1960
"URSELMANN, Wiltrud",Rome,Swimming,200m breaststroke,W,Women,Silver,EUA,Aquatics,True,False,1960
"GÖBEL, Barbara",Rome,Swimming,200m breaststroke,W,Women,Bronze,EUA,Aquatics,True,False,1960
"TROY, Mike",Rome,Swimming,200m butterfly,M,Men,Gold,USA,Aquatics,True,False,1960
"HAYES, Neville",Rome,Swimming,200m butterfly,M,Men,Silver,AUS,Aquatics,True,False,1960
"GILLANDERS, David",Rome,Swimming,200m butterfly,M,Men,Bronze,USA,Aquatics,True,False,1960
"ROSE, Murray",Rome,Swimming,400m freestyle,M,Men,Gold,AUS,Aquatics,True,False,1960
"YAMANAKA, Tsuyoshi",Rome,Swimming,400m freestyle,M,Men,Silver,JPN,Aquatics,True,False,1960
"KONRADS, John",Rome,Swimming,400m freestyle,M,Men,Bronze,AUS,Aquatics,True,False,1960
"VON SALTZA, Chris",Rome,Swimming,400m freestyle,W,Women,Gold,USA,Aquatics,True,False,1960
"CEDERQVIST, Jane",Rome,Swimming,400m freestyle,W,Women,Silver,SWE,Aquatics,True,False,1960
"LAGERBERG, Tineke",Rome,Swimming,400m freestyle,W,Women,Bronze,NED,Aquatics,True,False,1960
"SPILLANE, Joan",Rome,Swimming,4x100m freestyle,W,Women,Gold,USA,Aquatics,True,False,1960
"STOBS, Shirley",Rome,Swimming,4x100m freestyle,W,Women,Gold,USA,Aquatics,True,False,1960
"VON SALTZA, Chris",Rome,Swimming,4x100m freestyle,W,Women,Gold,USA,Aquatics,True,False,1960
"WOOD, Carolyn",Rome,Swimming,4x100m freestyle,W,Women,Gold,USA,Aquatics,True,False,1960
"COLQUHOUN, Alva",Rome,Swimming,4x100m freestyle,W,Women,Silver,AUS,Aquatics,True,False,1960
"CRAPP, Lorraine",Rome,Swimming,4x100m freestyle,W,Women,Silver,AUS,Aquatics,True,False,1960
"FRASER, Dawn",Rome,Swimming,4x100m freestyle,W,Women,Silver,AUS,Aquatics,True,False,1960
"KONRADS, Ilsa",Rome,Swimming,4x100m freestyle,W,Women,Silver,AUS,Aquatics,True,False,1960
"BRUNNER, Ursula",Rome,Swimming,4x100m freestyle,W,Women,Bronze,EUA,Aquatics,True,False,1960
"PECHSTEIN, Heidi",Rome,Swimming,4x100m freestyle,W,Women,Bronze,EUA,Aquatics,True,False,1960
"STEFFIN, Christel",Rome,Swimming,4x100m freestyle,W,Women,Bronze,EUA,Aquatics,True,False,1960
"WEISS, Gisela",Rome,Swimming,4x100m freestyle,W,Women,Bronze,EUA,Aquatics,True,False,1960
"FARRELL, Jeff",Rome,Swimming,4x100m medley,M,Men,Gold,USA,Aquatics,True,False,1960
"HAIT, Paul",Rome,Swimming,4x100m medley,M,Men,Gold,USA,Aquatics,True,False,1960
"LARSON, Lance",Rome,Swimming,4x100m medley,M,Men,Gold,USA,Aquatics,True,False,1960
"MCKINNEY, Frank",Rome,Swimming,4x100m medley,M,Men,Gold,USA,Aquatics,True,False,1960
"GATHERCOLE, Terry",Rome,Swimming,4x100m medley,M,Men,Silver,AUS,Aquatics,True,False,1960
"HAYES, Neville",Rome,Swimming,4x100m medley,M,Men,Silver,AUS,Aquatics,True,False,1960
"SHIPTON, Geoffrey",Rome,Swimming,4x100m medley,M,Men,Silver,AUS,Aquatics,True,False,1960
"THEILE, David",Rome,Swimming,4x100m medley,M,Men,Silver,AUS,Aquatics,True,False,1960
"HIRAKIDA, Koichi",Rome,Swimming,4x100m medley,M,Men,Bronze,JPN,Aquatics,True,False,1960
"OSAKI, Yoshihiko",Rome,Swimming,4x100m medley,M,Men,Bronze,JPN,Aquatics,True,False,1960
"SHIMIZU, Keigo",Rome,Swimming,4x100m medley,M,Men,Bronze,JPN,Aquatics,True,False,1960
"TOMITA, Kazuo",Rome,Swimming,4x100m medley,M,Men,Bronze,JPN,Aquatics,True,False,1960
"BURKE, Lynn",Rome,Swimming,4x100m medley,W,Women,Gold,USA,Aquatics,True,False,1960
"KEMPNER, Patty",Rome,Swimming,4x100m medley,W,Women,Gold,USA,Aquatics,True,False,1960
"SCHULER, Carolyn",Rome,Swimming,4x100m medley,W,Women,Gold,USA,Aquatics,True,False,1960
"VON SALTZA, Chris",Rome,Swimming,4x100m medley,W,Women,Gold,USA,Aquatics,True,False,1960
"ANDREW, Janice",Rome,Swimming,4x100m medley,W,Women,Silver,AUS,Aquatics,True,False,1960
"FRASER, Dawn",Rome,Swimming,4x100m medley,W,Women,Silver,AUS,Aquatics,True,False,1960
"LASSIG, Rosemary",Rome,Swimming,4x100m medley,W,Women,Silver,AUS,Aquatics,True,False,1960
"WILSON, Marilyn",Rome,Swimming,4x100m medley,W,Women,Silver,AUS,Aquatics,True,False,1960
"BRUNNER, Ursula",Rome,Swimming,4x100m medley,W,Women,Bronze,EUA,Aquatics,True,False,1960
"FUHRMANN, Bärbel",Rome,Swimming,4x100m medley,W,Women,Bronze,EUA,Aquatics,True,False,1960
"KÜPER, Ursula",Rome,Swimming,4x100m medley,W,Women,Bronze,EUA,Aquatics,True,False,1960
"SCHMIDT, Ingrid",Rome,Swimming,4x100m medley,W,Women,Bronze,EUA,Aquatics,True,False,1960
"BLICK, Richard",Rome,Swimming,4x200m freestyle,M,Men,Gold,USA,Aquatics,True,False,1960
"FARRELL, Jeff",Rome,Swimming,4x200m freestyle,M,Men,Gold,USA,Aquatics,True,False,1960
"HARRISON, George",Rome,Swimming,4x200m freestyle,M,Men,Gold,USA,Aquatics,True,False,1960
"TROY, Mike",Rome,Swimming,4x200m freestyle,M,Men,Gold,USA,Aquatics,True,False,1960
"FUJIMOTO, Tatsuo",Rome,Swimming,4x200m freestyle,M,Men,Silver,JPN,Aquatics,True,False,1960
"FUKUI, Makoto",Rome,Swimming,4x200m freestyle,M,Men,Silver,JPN,Aquatics,True,False,1960
"ISHII, Hiroshi",Rome,Swimming,4x200m freestyle,M,Men,Silver,JPN,Aquatics,True,False,1960
"YAMANAKA, Tsuyoshi",Rome,Swimming,4x200m freestyle,M,Men,Silver,JPN,Aquatics,True,False,1960
"DEVITT, John",Rome,Swimming,4x200m freestyle,M,Men,Bronze,AUS,Aquatics,True,False,1960
"DICKSON, David",Rome,Swimming,4x200m freestyle,M,Men,Bronze,AUS,Aquatics,True,False,1960
"KONRADS, John",Rome,Swimming,4x200m freestyle,M,Men,Bronze,AUS,Aquatics,True,False,1960
"ROSE, Murray",Rome,Swimming,4x200m freestyle,M,Men,Bronze,AUS,Aquatics,True,False,1960
"AMBRON, Amedeo",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"BARDI, Danio",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"D'ALTRUI, Giuseppe",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"GIONTA, Salvatore",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"GUERRINI, Giancarlo",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"LAVORATORI, Franco",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"LONZI, Gianni",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"MANNELLI, Luigi",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"PARMEGIANI, Rosario",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"PIZZO, Eraldo",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"ROSSI, Dante",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"SPINELLI, Brunello",Rome,Water Polo,water polo,M,Men,Gold,ITA,Aquatics,True,False,1960
"AGEYEV, Viktor",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"CHIKVANAYA, Givi",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"GOGOLADZE, Leri",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"GOYKHMAN, Boris",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"GRIGOROVSKY, Yuri",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"KARTASHOV, Anatoly",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"KURENNOY, Vyacheslav",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"MSHVENIERADZE, Pyotr",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"NOVIKOV, Vladimir",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"SALTSYN, Yevgeny",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"SEMYONOV, Vladimir",Rome,Water Polo,water polo,M,Men,Silver,URS,Aquatics,True,False,1960
"BOROS, Ottó",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"DÖMÖTÖR, Zoltán",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"FELKAI, LÃ¡szlÃ³",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"GYARMATI, Dezso",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"HEVESI, István",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"JENEY, Laszlo",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"KANIZSA, Tivadar",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"KÁRPÁTI, György",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"KATONA, András",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"MARKOVICS, Kalman",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"MAYER, Mihály",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"RUSORÁN, Péter",Rome,Water Polo,water polo,M,Men,Bronze,HUN,Aquatics,True,False,1960
"BOLOTNIKOV, Pyotr",Rome,Athletics,10000m,M,Men,Gold,URS,Athletics,True,False,1960
"GRODOTZKI, Hans",Rome,Athletics,10000m,M,Men,Silver,EUA,Athletics,True,False,1960
"POWER, David",Rome,Athletics,10000m,M,Men,Bronze,AUS,Athletics,True,False,1960
"HARY, Armin",Rome,Athletics,100m,M,Men,Gold,EUA,Athletics,True,False,1960
"SIME, Dave",Rome,Athletics,100m,M,Men,Silver,USA,Athletics,True,False,1960
"RADFORD, Peter",Rome,Athletics,100m,M,Men,Bronze,GBR,Athletics,True,False,1960
"RUDOLPH, Wilma",Rome,Athletics,100m,W,Women,Gold,USA,Athletics,True,False,1960
"HYMAN, Dorothy",Rome,Athletics,100m,W,Women,Silver,GBR,Athletics,True,False,1960
"LEONE, Giuseppina",Rome,Athletics,100m,W,Women,Bronze,ITA,Athletics,True,False,1960
"CALHOUN, Lee",Rome,Athletics,110m hurdles,M,Men,Gold,USA,Athletics,True,False,1960
"MAY, Willie",Rome,Athletics,110m hurdles,M,Men,Silver,USA,Athletics,True,False,1960
"JONES, Hayes",Rome,Athletics,110m hurdles,M,Men,Bronze,USA,Athletics,True,False,1960
"ELLIOTT, Herb",Rome,Athletics,1500m,M,Men,Gold,AUS,Athletics,True,False,1960
"JAZY, Michel",Rome,Athletics,1500m,M,Men,Silver,FRA,Athletics,True,False,1960
"RÓZSAVÖLGYI, István",Rome,Athletics,1500m,M,Men,Bronze,HUN,Athletics,True,False,1960
"BERRUTI, Livio",Rome,Athletics,200m,M,Men,Gold,ITA,Athletics,True,False,1960
"CARNEY, Lester Nelson",Rome,Athletics,200m,M,Men,Silver,USA,Athletics,True,False,1960
"SEYE, Abdoulaye",Rome,Athletics,200m,M,Men,Bronze,FRA,Athletics,True,False,1960
"RUDOLPH, Wilma",Rome,Athletics,200m,W,Women,Gold,USA,Athletics,True,False,1960
"HEINE, Jutta",Rome,Athletics,200m,W,Women,Silver,EUA,Athletics,True,False,1960
"HYMAN, Dorothy",Rome,Athletics,200m,W,Women,Bronze,GBR,Athletics,True,False,1960
"GOLUBNICHY, Vladimir",Rome,Athletics,20km walk,M,Men,Gold,URS,Athletics,True,False,1960
"FREEMAN, Noel",Rome,Athletics,20km walk,M,Men,Silver,AUS,Athletics,True,False,1960
"VICKERS, Stanley Frank",Rome,Athletics,20km walk,M,Men,Bronze,GBR,Athletics,True,False,1960
"KRZYSZKOWIAK, Zdzislaw",Rome,Athletics,3000m steeple,M,Men,Gold,POL,Athletics,True,False,1960
"SOKOLOV, Nikolay",Rome,Athletics,3000m steeple,M,Men,Silver,URS,Athletics,True,False,1960
"RZISHCHIN, Semyon",Rome,Athletics,3000m steeple,M,Men,Bronze,URS,Athletics,True,False,1960
"DAVIS, Otis",Rome,Athletics,400m,M,Men,Gold,USA,Athletics,True,False,1960
"KAUFMANN, Carl",Rome,Athletics,400m,M,Men,Silver,EUA,Athletics,True,False,1960
"SPENCE, Malcolm",Rome,Athletics,400m,M,Men,Bronze,RSA,Athletics,True,False,1960
"DAVIS, Glenn",Rome,Athletics,400m hurdles,M,Men,Gold,USA,Athletics,True,False,1960
"CUSHMAN, Clifton Emmett",Rome,Athletics,400m hurdles,M,Men,Silver,USA,Athletics,True,False,1960
"HOWARD, Richard",Rome,Athletics,400m hurdles,M,Men,Bronze,USA,Athletics,True,False,1960
"CULLMANN, Bernd",Rome,Athletics,4x100m relay,M,Men,Gold,EUA,Athletics,True,False,1960
"HARY, Armin",Rome,Athletics,4x100m relay,M,Men,Gold,EUA,Athletics,True,False,1960
"LAUER, Martin",Rome,Athletics,4x100m relay,M,Men,Gold,EUA,Athletics,True,False,1960
"MAHLENDORF, Walter",Rome,Athletics,4x100m relay,M,Men,Gold,EUA,Athletics,True,False,1960
"BARTENYEV, Leonid",Rome,Athletics,4x100m relay,M,Men,Silver,URS,Athletics,True,False,1960
"KONOVALOV, Yuri",Rome,Athletics,4x100m relay,M,Men,Silver,URS,Athletics,True,False,1960
"KOSANOV, Gusman",Rome,Athletics,4x100m relay,M,Men,Silver,URS,Athletics,True,False,1960
"OZOLIN, Edvin",Rome,Athletics,4x100m relay,M,Men,Silver,URS,Athletics,True,False,1960
"JONES, David",Rome,Athletics,4x100m relay,M,Men,Bronze,GBR,Athletics,True,False,1960
"RADFORD, Peter",Rome,Athletics,4x100m relay,M,Men,Bronze,GBR,Athletics,True,False,1960
"SEGAL, Dave",Rome,Athletics,4x100m relay,M,Men,Bronze,GBR,Athletics,True,False,1960
"WHITEHEAD, Nick",Rome,Athletics,4x100m relay,M,Men,Bronze,GBR,Athletics,True,False,1960
"HUDSON, Martha",Rome,Athletics,4x100m relay,W,Women,Gold,USA,Athletics,True,False,1960
"JONES, Barbara",Rome,Athletics,4x100m relay,W,Women,Gold,USA,Athletics,True,False,1960
"RUDOLPH, Wilma",Rome,Athletics,4x100m relay,W,Women,Gold,USA,Athletics,True,False,1960
"WILLIAMS, Lucinda",Rome,Athletics,4x100m relay,W,Women,Gold,USA,Athletics,True,False,1960
"BIECHL, Anni",Rome,Athletics,4x100m relay,W,Women,Silver,EUA,Athletics,True,False,1960
"HEINE, Jutta",Rome,Athletics,4x100m relay,W,Women,Silver,EUA,Athletics,True,False,1960
"HENDRIX, Brunhilde",Rome,Athletics,4x100m relay,W,Women,Silver,EUA,Athletics,True,False,1960
"LANGBEIN, Martha",Rome,Athletics,4x100m relay,W,Women,Silver,EUA,Athletics,True,False,1960
"JESIONOWSKA, Celina",Rome,Athletics,4x100m relay,W,Women,Bronze,POL,Athletics,True,False,1960
"LERCZAK-JANISZEWSKA, Barbara",Rome,Athletics,4x100m relay,W,Women,Bronze,POL,Athletics,True,False,1960
"RICHTER, Halina",Rome,Athletics,4x100m relay,W,Women,Bronze,POL,Athletics,True,False,1960
"WIECZOREK, Teresa",Rome,Athletics,4x100m relay,W,Women,Bronze,POL,Athletics,True,False,1960
"DAVIS, Glenn",Rome,Athletics,4x400m relay,M,Men,Gold,USA,Athletics,True,False,1960
"DAVIS, Otis",Rome,Athletics,4x400m relay,M,Men,Gold,USA,Athletics,True,False,1960
"YERMAN, Jack",Rome,Athletics,4x400m relay,M,Men,Gold,USA,Athletics,True,False,1960
"YOUNG, Earl",Rome,Athletics,4x400m relay,M,Men,Gold,USA,Athletics,True,False,1960
"KAISER, Johannes",Rome,Athletics,4x400m relay,M,Men,Silver,EUA,Athletics,True,False,1960
"KAUFMANN, Carl",Rome,Athletics,4x400m relay,M,Men,Silver,EUA,Athletics,True,False,1960
"KINDER, Manfred",Rome,Athletics,4x400m relay,M,Men,Silver,EUA,Athletics,True,False,1960
"RESKE, Hans-Joachim",Rome,Athletics,4x400m relay,M,Men,Silver,EUA,Athletics,True,False,1960
"GARDNER, Keith",Rome,Athletics,4x400m relay,M,Men,Bronze,BWI,Athletics,True,False,1960
"KERR, George",Rome,Athletics,4x400m relay,M,Men,Bronze,BWI,Athletics,True,False,1960
"SPENCE, Malcolm A.E.",Rome,Athletics,4x400m relay,M,Men,Bronze,BWI,Athletics,True,False,1960
"WEDDERBURN, James",Rome,Athletics,4x400m relay,M,Men,Bronze,BWI,Athletics,True,False,1960
"HALBERG, Murray",Rome,Athletics,5000m,M,Men,Gold,NZL,Athletics,True,False,1960
"GRODOTZKI, Hans",Rome,Athletics,5000m,M,Men,Silver,EUA,Athletics,True,False,1960
"ZIMNY, Kazimierz",Rome,Athletics,5000m,M,Men,Bronze,POL,Athletics,True,False,1960
"THOMPSON, Donald James",Rome,Athletics,50km walk,M,Men,Gold,GBR,Athletics,True,False,1960
"LJUNGGREN, John",Rome,Athletics,50km walk,M,Men,Silver,SWE,Athletics,True,False,1960
"PAMICH, Abdon",Rome,Athletics,50km walk,M,Men,Bronze,ITA,Athletics,True,False,1960
"SNELL, Peter",Rome,Athletics,800m,M,Men,Gold,NZL,Athletics,True,False,1960
"MOENS, Roger",Rome,Athletics,800m,M,Men,Silver,BEL,Athletics,True,False,1960
"KERR, George",Rome,Athletics,800m,M,Men,Bronze,BWI,Athletics,True,False,1960
"SHEVTSOVA, Lyudmila",Rome,Athletics,800m,W,Women,Gold,URS,Athletics,True,False,1960
"JONES, Brenda",Rome,Athletics,800m,W,Women,Silver,AUS,Athletics,True,False,1960
"DONATH, Ursula",Rome,Athletics,800m,W,Women,Bronze,EUA,Athletics,True,False,1960
"PRESS, Irina",Rome,Athletics,80m hurdles,W,Women,Gold,URS,Athletics,True,False,1960
"QUINTON, Carole",Rome,Athletics,80m hurdles,W,Women,Silver,GBR,Athletics,True,False,1960
"KÖHLER, Gisela",Rome,Athletics,80m hurdles,W,Women,Bronze,EUA,Athletics,True,False,1960
"JOHNSON, Rafer",Rome,Athletics,decathlon,M,Men,Gold,USA,Athletics,True,False,1960
"YANG, Chuan-Kwang",Rome,Athletics,decathlon,M,Men,Silver,TPE,Athletics,True,False,1960
"KUZNETSOV, Vasily",Rome,Athletics,decathlon,M,Men,Bronze,URS,Athletics,True,False,1960
"OERTER, Al",Rome,Athletics,discus throw,M,Men,Gold,USA,Athletics,True,False,1960
"BABKA, Rink",Rome,Athletics,discus throw,M,Men,Silver,USA,Athletics,True,False,1960
"COCHRAN, Richard",Rome,Athletics,discus throw,M,Men,Bronze,USA,Athletics,True,False,1960
"ROMASHKOVA, Nina",Rome,Athletics,discus throw,W,Women,Gold,URS,Athletics,True,False,1960
"PRESS, Tamara",Rome,Athletics,discus throw,W,Women,Silver,URS,Athletics,True,False,1960
"MANOLIU, Lia",Rome,Athletics,discus throw,W,Women,Bronze,ROU,Athletics,True,False,1960
"RUDENKOV, Vasili",Rome,Athletics,hammer throw,M,Men,Gold,URS,Athletics,True,False,1960
"ZSIVÓTZKY, Gyula",Rome,Athletics,hammer throw,M,Men,Silver,HUN,Athletics,True,False,1960
"RUT, Tadeusz",Rome,Athletics,hammer throw,M,Men,Bronze,POL,Athletics,True,False,1960
"SHAVLAKADZE, Robert",Rome,Athletics,high jump,M,Men,Gold,URS,Athletics,True,False,1960
"BRUMEL, Valeri",Rome,Athletics,high jump,M,Men,Silver,URS,Athletics,True,False,1960
"THOMAS, John",Rome,Athletics,high jump,M,Men,Bronze,USA,Athletics,True,False,1960
"BALAS, Iolanda",Rome,Athletics,high jump,W,Women,Gold,ROU,Athletics,True,False,1960
"JÓZWIAKOWSKA, Jaroslawa",Rome,Athletics,high jump,W,Women,Silver,POL,Athletics,True,False,1960
"SHIRLEY, Dorothy",Rome,Athletics,high jump,W,Women,Silver,GBR,Athletics,True,False,1960
"TSYBULENKO, Viktor",Rome,Athletics,javelin throw,M,Men,Gold,URS,Athletics,True,False,1960
"KRÜGER, Walter",Rome,Athletics,javelin throw,M,Men,Silver,EUA,Athletics,True,False,1960
"KULCSÁR, Gergely",Rome,Athletics,javelin throw,M,Men,Bronze,HUN,Athletics,True,False,1960
"OZOLINA, Elvira",Rome,Athletics,javelin throw,W,Women,Gold,URS,Athletics,True,False,1960
"INGROVA-ZATOPKOVA, Dana",Rome,Athletics,javelin throw,W,Women,Silver,TCH,Athletics,True,False,1960
"KALEDIENE, Birute",Rome,Athletics,javelin throw,W,Women,Bronze,URS,Athletics,True,False,1960
"BOSTON, Ralph",Rome,Athletics,long jump,M,Men,Gold,USA,Athletics,True,False,1960
"ROBERSON, Irvin",Rome,Athletics,long jump,M,Men,Silver,USA,Athletics,True,False,1960
"TER-OVANESYAN, Igor",Rome,Athletics,long jump,M,Men,Bronze,URS,Athletics,True,False,1960
"KOLASHNIKOVA-KREPKINA, Vera",Rome,Athletics,long jump,W,Women,Gold,URS,Athletics,True,False,1960
"KRZESINSKA, Elzbieta",Rome,Athletics,long jump,W,Women,Silver,POL,Athletics,True,False,1960
"CLAUS, Hildrun",Rome,Athletics,long jump,W,Women,Bronze,EUA,Athletics,True,False,1960
"BIKILA, Abebe",Rome,Athletics,marathon,M,Men,Gold,ETH,Athletics,True,False,1960
"RHADI BEN ABDESSELEM, Abdesiem",Rome,Athletics,marathon,M,Men,Silver,MAR,Athletics,True,False,1960
"MAGEE, Barry",Rome,Athletics,marathon,M,Men,Bronze,NZL,Athletics,True,False,1960
"BRAGG, Don",Rome,Athletics,pole vault,M,Men,Gold,USA,Athletics,True,False,1960
"MORRIS, Ronald",Rome,Athletics,pole vault,M,Men,Silver,USA,Athletics,True,False,1960
"LANDSTRÖM, Eeles",Rome,Athletics,pole vault,M,Men,Bronze,FIN,Athletics,True,False,1960
"NIEDER, William",Rome,Athletics,shot put,M,Men,Gold,USA,Athletics,True,False,1960
"O'BRIEN, Parry",Rome,Athletics,shot put,M,Men,Silver,USA,Athletics,True,False,1960
"LONG, Dallas",Rome,Athletics,shot put,M,Men,Bronze,USA,Athletics,True,False,1960
"PRESS, Tamara",Rome,Athletics,shot put,W,Women,Gold,URS,Athletics,True,False,1960
"LÜTTGE, Johanna",Rome,Athletics,shot put,W,Women,Silver,EUA,Athletics,True,False,1960
"BROWN, Earlene",Rome,Athletics,shot put,W,Women,Bronze,USA,Athletics,True,False,1960
"SCHMIDT, Jozef",Rome,Athletics,triple jump,M,Men,Gold,POL,Athletics,True,False,1960
"GORYAYEV, Vladimir",Rome,Athletics,triple jump,M,Men,Silver,URS,Athletics,True,False,1960
"KREYER, Vitold",Rome,Athletics,triple jump,M,Men,Bronze,URS,Athletics,True,False,1960
"ARNETTE, Jay",Rome,Basketball,basketball,M,Men,Gold,USA,Basketball,True,False,1960
"BELLAMY, Walter",Rome,Basketball,basketball,M,Men,Gold,USA,Basketball,True,False,1960
"BOOZER, Robert",Rome,Basketball,basketball,M,Men,Gold,USA,Basketball,True,False,1960
"DISCHINGER, Terry",Rome,Basketball,basketball,M,Men,Gold,USA,Basketball,True,False,1960
"HALDORSON, Burdette",Rome,Basketball,basketball,M,Men,Gold,USA,Basketball,True,False,1960
