Source,Target
AUT,EUA
AUT,USA
EUA,USA
ITA,SUI
ITA,USA
SUI,USA
EUA,CAN
EUA,USA
CAN,USA
URS,URS
URS,URS
URS,URS
FIN,SWE
FIN,URS
SWE,URS
USA,USA
USA,NED
USA,NED
USA,CAN
USA,EUA
CAN,EUA
URS,URS
URS,EUA
URS,EUA
POL,URS
POL,POL
URS,POL
FIN,URS
FIN,URS
URS,URS
USA,EUA
USA,URS
EUA,URS
FRA,FRA
FRA,EUA
FRA,EUA
AUT,SUI
AUT,AUT
SUI,AUT
FRA,AUT
FRA,AUT
AUT,AUT
URS,SWE
URS,FIN
SWE,FIN
FIN,NOR
FIN,SWE
NOR,SWE
URS,SWE
URS,SWE
SWE,SWE
URS,FIN
URS,NOR
FIN,NOR
SWE,FIN
SWE,FIN
FIN,FIN
CAN,USA
CAN,TCH
USA,TCH
USA,CAN
USA,EUA
CAN,EUA
URS,USA
URS,CAN
USA,CAN
URS,EUA
URS,NOR
EUA,NOR
AUT,EUA
AUT,FIN
EUA,FIN
SWE,NOR
SWE,URS
NOR,URS
URS,NOR
URS,URS
NOR,URS
NED,URS
NED,NOR
URS,NOR
URS,URS
URS,USA
URS,USA
AUT,AUT
AUT,AUT
AUT,AUT
FRA,FRA
FRA,USA
FRA,USA
USA,FRA
USA,FRA
FRA,FRA
URS,URS
URS,URS
URS,URS
FIN,URS
FIN,SWE
URS,SWE
URS,URS
URS,FIN
URS,FIN
CAN,NED
CAN,AUT
NED,AUT
USA,URS
USA,CAN
USA,EUA
URS,CAN
URS,EUA
CAN,EUA
AUT,EUA
AUT,EUA
EUA,EUA
FIN,URS
FIN,URS
URS,URS
URS,URS
URS,FIN
URS,FIN
URS,PRK
URS,URS
PRK,URS
URS,URS
URS,URS
URS,URS
EUA,AUT
EUA,FRA
AUT,FRA
AUT,FRA
AUT,AUT
FRA,AUT
USA,AUT
USA,USA
AUT,USA
NOR,URS
NOR,URS
URS,URS
ITA,CAN
ITA,AUT
CAN,AUT
ITA,GBR
ITA,ITA
GBR,ITA
SWE,FIN
SWE,NOR
FIN,NOR
URS,FIN
URS,NOR
FIN,NOR
URS,SWE
URS,FIN
SWE,FIN
FIN,SWE
FIN,SWE
SWE,SWE
USA,EUA
USA,FRA
EUA,FRA
USA,URS
USA,CAN
USA,EUA
URS,CAN
URS,EUA
CAN,EUA
TCH,URS
TCH,SWE
URS,SWE
ITA,AUT
ITA,AUT
AUT,AUT
EUA,EUA
EUA,EUA
EUA,EUA
EUA,NOR
EUA,URS
NOR,URS
NOR,NOR
NOR,FIN
NOR,FIN
NOR,FIN
NOR,NOR
FIN,NOR
NOR,SWE
NOR,NOR
SWE,NOR
NOR,URS
NOR,NED
URS,NED
NOR,NOR
NOR,NOR
NOR,NOR
USA,NOR
USA,URS
NOR,URS
AUT,AUT
AUT,FRA
AUT,FRA
SUI,CAN
SUI,FRA
CAN,FRA
FRA,FRA
FRA,CAN
FRA,CAN
NOR,SWE
NOR,NOR
SWE,NOR
URS,NOR
URS,SWE
NOR,SWE
URS,SWE
URS,URS
SWE,URS
TCH,USA
TCH,GDR
USA,GDR
FRG,URS
FRG,URS
URS,URS
FRG,ITA
FRG,FRG
ITA,FRG
USA,NED
USA,URS
NED,URS
NED,FIN
NED,NED
FIN,NED
NED,NED
NED,FIN
NED,FIN
URS,USA
SUI,FRA
SUI,FRA
FRA,FRA
AUT,FRA
AUT,SUI
FRA,SUI
AUT,FRA
AUT,AUT
FRA,AUT
URS,NOR
URS,URS
NOR,URS
SWE,URS
SWE,NOR
URS,NOR
SUI,ITA
SUI,AUT
ITA,AUT
ROU,ITA
ROU,FRG
ITA,FRG
SWE,NOR
SWE,FIN
NOR,FIN
FIN,ITA
FIN,NOR
ITA,NOR
FIN,NOR
FIN,SWE
NOR,SWE
SUI,NOR
SUI,URS
NOR,URS
FRA,AUT
FRA,USA
AUT,USA
FRG,URS
FRG,URS
URS,URS
CAN,URS
CAN,TCH
URS,TCH
FRG,GDR
FRG,AUT
GDR,AUT
GDR,AUT
GDR,GDR
AUT,GDR
GDR,FRG
GDR,SUI
FRG,SUI
NOR,URS
NOR,TCH
URS,TCH
AUT,TCH
AUT,AUT
TCH,AUT
SWE,SWE
SWE,NOR
SWE,NOR
NED,NED
NED,NOR
NED,NOR
NED,NOR
NED,NED
NOR,NED
FRG,NOR
FRG,USA
NOR,USA
USA,SUI
USA,AUT
SUI,AUT
AUT,SUI
AUT,AUT
SUI,AUT
FRA,USA
FRA,FRA
USA,FRA
FIN,URS
FIN,URS
URS,URS
NOR,URS
NOR,FIN
URS,FIN
TCH,URS
TCH,FIN
URS,FIN
USA,AUT
USA,CAN
AUT,CAN
GDR,URS
GDR,URS
URS,URS
GDR,GDR
GDR,GDR
GDR,GDR
USA,FRG
USA,NED
FRG,NED
NED,USA
NED,NED
USA,NED
NED,NED
NED,USA
NED,USA
URS,USA
URS,URS
USA,URS
AUT,SUI
AUT,SUI
SUI,SUI
SUI,ITA
SUI,SUI
ITA,SUI
ITA,ESP
ITA,ITA
ESP,ITA
SWE,NOR
SWE,GDR
NOR,GDR
GDR,URS
GDR,FIN
URS,FIN
FRG,SUI
FRG,ITA
SUI,ITA
SUI,FRG
SUI,FRG
FRG,FRG
NOR,SWE
NOR,URS
SWE,URS
NOR,URS
NOR,NOR
URS,NOR
SUI,URS
SUI,NOR
URS,NOR
URS,NOR
URS,NOR
NOR,NOR
FRA,TCH
FRA,URS
TCH,URS
GDR,URS
GDR,URS
URS,URS
TCH,URS
TCH,USA
URS,USA
GDR,GDR
GDR,ITA
GDR,ITA
GDR,GDR
GDR,GDR
GDR,GDR
GDR,GDR
GDR,FIN
GDR,FIN
GDR,POL
GDR,SUI
POL,SUI
JPN,JPN
JPN,JPN
JPN,JPN
NOR,NED
NOR,NED
NED,NED
SWE,NED
SWE,NOR
NED,NOR
NOR,NED
NOR,NOR
NED,NOR
URS,FRG
URS,SWE
FRG,SWE
USA,FRG
USA,AUT
FRG,AUT
FRA,CAN
FRA,FRG
CAN,FRG
LIE,FRG
LIE,ITA
FRG,ITA
URS,URS
URS,FIN
URS,FIN
GDR,URS
GDR,FIN
URS,FIN
URS,FIN
URS,URS
FIN,URS
USA,URS
USA,URS
URS,URS
GDR,USA
GDR,NED
USA,NED
GDR,URS
GDR,GDR
URS,GDR
FRG,GDR
FRG,GDR
GDR,GDR
USA,URS
USA,USA
URS,USA
URS,URS
URS,USA
URS,USA
NOR,URS
NOR,GDR
URS,GDR
URS,USA
URS,CAN
USA,CAN
ITA,AUT
ITA,SUI
AUT,SUI
SWE,SUI
SWE,SUI
SUI,SUI
LIE,ITA
LIE,ITA
ITA,ITA
URS,URS
URS,FIN
URS,FIN
GDR,URS
GDR,FIN
URS,FIN
FRG,GDR
FRG,SUI
GDR,SUI
SUI,GDR
SUI,FRG
GDR,FRG
FIN,URS
FIN,URS
URS,URS
URS,URS
URS,USA
URS,USA
URS,FIN
URS,NOR
FIN,NOR
SWE,NOR
SWE,GDR
NOR,GDR
USA,URS
USA,URS
URS,URS
CAN,GBR
CAN,URS
GBR,URS
GDR,URS
GDR,GDR
URS,GDR
FRG,URS
FRG,TCH
URS,TCH
AUT,GDR
AUT,FRG
GDR,FRG
GDR,GDR
GDR,FRG
GDR,FRG
GDR,GDR
GDR,FRG
GDR,FRG
GDR,AUT
GDR,AUT
AUT,AUT
AUT,GDR
AUT,GDR
GDR,GDR
NED,NED
NED,NOR
NED,NOR
URS,USA
URS,NOR
USA,NOR
NED,NOR
NED,URS
NOR,URS
NED,NOR
NED,NED
NOR,NED
USA,URS
USA,URS
