0
CAN
UKR
POL
KAZ
ESP
OAR
SWE
GDR
CZE
FRG
SVK
LUX
EST
RUS
CHN
FIN
NOR
UZB
CRO
BUL
FRA
EUN
USA
YUG
JPN
DEN
PRK
AUS
BEL
SLO
GBR
ROU
EUA
HUN
LIE
URS
AUT
SUI
KOR
ITA
GER
LAT
NED
NZL
BLR
TCH
