0
CAN
MGL
POL
SWE
CUB
GDR
IRI
FRG
UGA
FIN
NOR
TUN
BUL
ETH
FRA
USA
CMR
YUG
JPN
JAM
ARG
DEN
PAK
AUS
BRA
BEL
GBR
ROU
TUR
HUN
IND
URS
AUT
KEN
SUI
GRE
KOR
TPE
VEN
ITA
NED
NZL
MEX
TCH
