Country,Host_City,Year,Gender,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,Males,Females,Summer,Winter,Population_Density,Population,NOC_Males_Sent,NOC_Females_Sent,NOC_Total_Sent,Female_Representation,Male_Representation,Population_Representation,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share,norm_Population,norm_Population_Density,norm_Male_Representation,norm_Female_Representation,norm_Population_Representation,norm_Males,norm_Females
Afghanistan,Beijing,2008,Men,0,0,1,1,1,0.0,0.0004904364884747426,0.0002477700693756194,14054874.0,13239157.0,True,False,42.236960935420576,27294031.0,3.0,1.0,4.0,7.553351017742293e-08,2.1344908534932437e-07,1.4655218937796325e-07,0.0,0.0,0.0,0.019780424009041238,0.005080422301050775,0.0002458658001938513,0.0003152768714805633,0.0002732145290746707,0.019769455072413514,0.019792083683077447
Afghanistan,London,2012,Men,0,0,1,1,1,0.0,0.00051440329218107,0.0002600780234070221,15784301.0,14912657.0,True,False,47.50292164181413,30696958.0,5.0,1.0,6.0,6.70571314018689e-08,3.167704417192754e-07,1.9545910705549391e-07,0.0,0.00010086834754287745,4.798254513555476e-05,0.022248743765485694,0.0057256649895842905,0.000371619034805714,0.00027989646647140075,0.0003789145022940796,0.02220402639826951,0.022296277080992345
Algeria,Atlanta,1996,Men,2,0,1,3,7,0.0032520325203252032,0.0016155088852988692,0.001893939393939394,14898762.0,14512653.0,True,False,12.735059000192251,29411415.0,38.0,6.0,44.0,4.1343233383999464e-07,2.550547488442328e-06,1.4960177876514952e-06,0.007588075880758808,0.004735057495538852,0.006417589285361117,0.021316272635585207,0.0014655289163685039,0.003090366628685089,0.0017256665614481376,0.003189744222041979,0.020957423993353205,0.02169771874460779
Algeria,Barcelone,1992,Men,0,0,1,1,1,0.0,0.0005841121495327102,0.0002949852507374631,13764639.0,13416455.0,True,False,11.76933635392148,27181094.0,33.0,2.0,35.0,1.490706747795897e-07,2.397447546572053e-06,1.2876597240714447e-06,0.0,0.00039424986542570457,0.0001840683321531613,0.01969850493515762,0.00134719809101675,0.0029040274865609877,0.0006222209965300074,0.0027394307942837323,0.01936088170750143,0.02005738901983485
Algeria,Barcelone,1992,Women,1,0,0,1,3,0.0017793594306049821,0.0005841121495327102,0.0008849557522123894,13764639.0,13416455.0,True,False,11.76933635392148,27181094.0,33.0,2.0,35.0,1.490706747795897e-07,2.397447546572053e-06,1.2876597240714447e-06,0.004151838671411625,0.00039424986542570457,0.0024840676775716103,0.01969850493515762,0.00134719809101675,0.0029040274865609877,0.0006222209965300074,0.0027394307942837323,0.01936088170750143,0.02005738901983485
Algeria,Beijing,2008,Men,0,1,0,1,2,0.0,0.0004904364884747426,0.0004955401387512388,17605574.0,17255141.0,True,False,15.094590393351936,34860715.0,34.0,24.0,58.0,1.3908898223433817e-06,1.9312065599224426e-06,1.6637639245207678e-06,0.0,0.0,0.0009659313405560631,0.025268933050807973,0.0017546443246838584,0.0023365619185531468,0.005805574118461275,0.0035522852084040675,0.024767892362173,0.025801525343628305
Algeria,Beijing,2008,Women,0,0,1,1,1,0.0,0.0004904364884747426,0.0002477700693756194,17605574.0,17255141.0,True,False,15.094590393351936,34860715.0,34.0,24.0,58.0,1.3908898223433817e-06,1.9312065599224426e-06,1.6637639245207678e-06,0.0,0.0,0.0,0.025268933050807973,0.0017546443246838584,0.0023365619185531468,0.005805574118461275,0.0035522852084040675,0.024767892362173,0.025801525343628305
Algeria,London,2012,Men,1,0,0,1,3,0.0015772870662460567,0.00051440329218107,0.0007802340702210664,18961440.0,18604407.0,True,False,16.265904851473316,37565847.0,21.0,18.0,39.0,9.675126973947625e-07,1.1075108219628888e-06,1.0381770441646105e-06,0.003680336487907466,0.00010086834754287745,0.0020758103165187908,0.02723110583893716,0.0018981664913340578,0.0013340353642797651,0.004038397998925739,0.0022002368757724033,0.026676589569573524,0.027820541184220504
Algeria,Los Angeles,1984,Men,0,0,2,2,2,0.0,0.0013568521031207597,0.0006798096532970768,11044252.0,10849601.0,True,False,9.479976046597422,21893853.0,31.0,0.0,31.0,0.0,2.8068899550644082e-06,1.4159225422770491e-06,0.0,0.00364645667422133,0.0016843058385630875,0.015863394332613655,0.0010666808061220515,0.0034023630588392445,0.0,0.0030166385410235553,0.015531303364251662,0.01621639777979216
Algeria,Rio,2016,Men,0,2,0,2,4,0.0,0.0009896091044037606,0.0009977550511349464,20505903.0,20100149.0,True,False,17.58230496509177,40606052.0,55.0,10.0,65.0,4.975087498107601e-07,2.68215449960921e-06,1.6007466079194303e-06,0.0,0.0021008523925166727,0.0029238156192686027,0.02943632448310473,0.002059466127973146,0.00325054655598469,0.0020766015217101126,0.003416089165115479,0.028850780983056445,0.030058740910174506
Algeria,Sydney,2000,Men,0,1,3,4,5,0.0,0.0019821605550049554,0.0012428535918468805,15803153.0,15380507.0,True,False,13.502436041990332,31183660.0,37.0,10.0,47.0,6.501736256158525e-07,2.341304928200088e-06,1.5071996038951168e-06,0.0,0.006278173069073834,0.0038793320082933912,0.022601774013299127,0.0015595562844359337,0.0028356958646398173,0.0027138247133205685,0.0032139108989380403,0.02223056497933424,0.022996358874368194
