0
CAN
COL
DOM
ESP
SWE
FRG
ZAM
THA
ISL
CHN
FIN
NOR
PER
MAR
FRA
IRL
USA
CMR
ALG
YUG
JPN
JAM
PUR
PAK
AUS
BRA
BEL
CIV
NGR
GBR
TUR
ROU
SYR
SUI
KEN
AUT
GRE
KOR
TPE
VEN
ITA
EGY
POR
NED
NZL
MEX
DEN
