0
MGL
LBN
POL
TAN
ESP
SWE
CUB
GDR
GUY
UGA
FIN
BUL
ETH
FRA
IRL
YUG
JAM
DEN
PRK
AUS
BRA
BEL
GBR
ROU
HUN
IND
ZIM
URS
SUI
AUT
GRE
VEN
ITA
NED
MEX
TCH
