0
CAN
COL
MGL
POL
ESP
SWE
GDR
INA
IRI
FRG
THA
CHN
FIN
NOR
PER
SEN
AHO
BUL
MAR
FRA
USA
YUG
JPN
JAM
DEN
ARG
CRC
PAK
AUS
BRA
BEL
DJI
GBR
PHI
ROU
HUN
TUR
URS
SUR
SUI
KEN
AUT
ISV
KOR
GRE
ITA
POR
NED
CHI
NZL
MEX
TCH
